Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
87,384.167,66420290000,45569180000,36323580000,557830000,2885390000,2950000,342440000,563100000,489860000,2799650000,399720000,221900000,77277130000,14364270000,48821290000,9006470000,2607110000,1138090000,146450000,972980000,506210000,17180000,42760000,267440000,5698220000,6401640000,2485650000,3359330000,1447890000,1526010000,1054050000,1639240000,563270000,923610000,5350000,3596360000,13892790000
88,384.168,70174240000,47274390000,37753470000,557160000,3143380000,3340000,383600000,559020000,482400000,2922720000,424470000,255040000,81581690000,15226230000,52388700000,9452390000,2672510000,1236080000,167380000,1029600000,523190000,19480000,47380000,285080000,5980700000,6821050000,3013720000,3830520000,1681260000,1624450000,1115030000,1838680000,580880000,968060000,6510000,3941290000,16367940000
89,384.168,74437470000,49733710000,39893960000,602060000,3308310000,3260000,423340000,566210000,486840000,3089400000,433860000,279250000,89360180000,15859280000,59497000000,10989660000,2820380000,1392740000,202500000,1089470000,546000000,22080000,56720000,324770000,6454660000,7409160000,3160190000,4137120000,1638990000,1665700000,1212500000,2127950000,641750000,1077840000,7740000,4218310000,16038970000
90,384.167,79411300000,51546180000,41478490000,656220000,3395100000,8890000,502220000,560780000,482030000,3257910000,488860000,306090000,97617420000,17087460000,68629410000,12412940000,2912310000,1586160000,233280000,1197910000,642570000,23820000,67320000,373180000,7036550000,7882490000,3964380000,4851470000,2118010000,1673550000,1401670000,2408010000,699200000,1190880000,8830000,4630580000,18664110000
91,384.168,85296630000,54013250000,43539430000,715130000,3508170000,4090000,581630000,557810000,483950000,3423490000,472120000,364020000,108199300000,18421730000,85667100000,38814210000,3025210000,1804810000,285870000,1338490000,785040000,29840000,75940000,402560000,7747760000,8469540000,4795450000,5828800000,1996310000,1689380000,1516080000,2524150000,790970000,1292020000,11250000,5087510000,20142060000
92,384.167,92188860000,58376800000,47109710000,748540000,3901970000,9070000,688190000,577420000,497110000,3662030000,534890000,423370000,118086460000,19857980000,93090890000,15646770000,3273040000,2054740000,337840000,1456360000,844550000,33550000,88400000,458600000,8547080000,9430670000,5264750000,5912520000,2272420000,1691020000,1715210000,2790780000,830690000,1434890000,13580000,5611520000,21421040000
93,384.168,100357120000,61869890000,50011010000,814370000,4109070000,5350000,863870000,573690000,496660000,3897930000,561720000,472460000,131251440000,21203420000,93682120000,19133080000,3475310000,2387410000,418330000,1598780000,966250000,40330000,110590000,515550000,9512550000,10257130000,6513730000,6986290000,2384570000,1684680000,1888480000,2977820000,938430000,1576610000,15830000,6392810000,23373750000
94,384.168,110371110000,66249040000,53628890000,893100000,4528700000,5810000,984280000,572130000,498650000,4153550000,616980000,524970000,145322750000,22672740000,113238540000,21555260000,3682660000,2807360000,524140000,1708760000,1082240000,47920000,128960000,614250000,10596290000,11266420000,7777250000,7887660000,2877870000,1801700000,2133130000,3604660000,1049780000,1776210000,20680000,7474710000,24392730000
95,384.167,122932430000,70825820000,57464390000,1014660000,4940280000,6260000,1133670000,574120000,501520000,4402460000,666120000,649630000,162585400000,25698530000,137782440000,24332710000,3902500000,3406220000,674370000,1873100000,1254280000,61640000,168950000,727390000,12068450000,12354820000,10051480000,9552020000,3286080000,1835780000,2463570000,4221000000,1185590000,2068820000,22720000,8637170000,29067230000
96,384.168,139627420000,77223040000,62774860000,1153270000,5464250000,7040000,1362920000,568390000,496000000,4753780000,766710000,793580000,190482290000,27255600000,169145460000,30307950000,4240970000,4207140000,912230000,2126550000,1284730000,84120000,212270000,869950000,13937960000,13852580000,13039380000,11478820000,3646720000,1958460000,2784470000,5376020000,1408540000,2408660000,35580000,9976510000,31207380000
97,384.168,162818670000,86594090000,70468490000,1364840000,6125260000,7450000,1658530000,576150000,505100000,5246420000,913090000,1010170000,226945640000,30458810000,292325210000,41686280000,4652200000,5409920000,1269370000,2418340000,1486540000,110450000,288260000,1055880000,16690960000,15985450000,17344390000,13317180000,4362770000,2000310000,3388490000,6718210000,1681380000,2880180000,54120000,12149340000,36858170000
98,384.167,198431780000,98741730000,80621310000,1682420000,6788540000,12380000,2108780000,589610000,530060000,5788240000,975950000,1403130000,287507270000,35420310000,306529000000,48599180000,5092210000,7492660000,2006000000,2912320000,1989960000,165520000,472430000,1488100000,21619200000,18792360000,25427910000,16740100000,5617050000,1965270000,4532400000,7361630000,2182220000,3648680000,95550000,16117100000,47383180000
99,384.168,271212580000,109607390000,90207430000,2292400000,6024430000,16240000,2631140000,599080000,550250000,6035100000,1055720000,2335620000,385010120000,48037460000,501046530000,147196990000,5300250000,12646050000,4179860000,3931670000,3297780000,336840000,933370000,2491140000,33116960000,21481720000,48691400000,24978080000,8824810000,1858710000,8046340000,6494850000,3665130000,5497030000,231220000,29025470000,63961010000
