Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
31,384.168,15332650000,12640680000,9737800000,157750000,398690000,170000,5110000,307100000,104330000,361100000,53080000,7360000,16173160000,3946970000,6979460000,1004980000,787080000,74030000,2730000,86010000,11150000,1710000,2340000,27120000,992170000,125860000,190140000,369050000,322650000,504890000,20560000,76590000,117570000,98920000,180000,321910000,2698170000
32,384.168,15613080000,12903830000,9931850000,146180000,362640000,140000,6230000,314860000,109900000,383870000,56040000,8180000,14825920000,3946530000,19886250000,1055230000,824640000,81420000,2350000,92460000,13750000,1540000,2760000,27660000,1046580000,135300000,144320000,284480000,309250000,565800000,20730000,82720000,126150000,106030000,210000,332240000,2902160000
33,384.167,15904850000,13127840000,10095360000,139350000,362300000,160000,6590000,320140000,113510000,391320000,61040000,8270000,15250570000,4009540000,6966790000,1075410000,845060000,84330000,2420000,96440000,15900000,1640000,2800000,29710000,1078300000,145660000,124580000,235200000,346600000,616470000,21290000,87030000,131170000,109570000,270000,373110000,2618380000
34,384.168,16192320000,13386360000,10296950000,178840000,357090000,250000,6780000,310200000,115250000,421330000,62330000,11360000,16030070000,4219590000,8429310000,1037600000,809650000,79410000,2880000,97630000,18510000,1490000,2610000,29670000,1041850000,160620000,153300000,301410000,308350000,605410000,21190000,83990000,126840000,105940000,170000,365840000,2977530000
35,384.168,16489090000,13566490000,10428860000,160900000,378990000,720000,7190000,320550000,119530000,418120000,60110000,9490000,16904280000,4218710000,7603400000,1376500000,854400000,85380000,3060000,105390000,19010000,1560000,2920000,30880000,1102600000,169330000,132230000,272830000,355120000,664630000,21890000,93170000,137410000,114060000,300000,383470000,3065820000
36,384.167,16788140000,13768300000,10576100000,168180000,378420000,390000,7750000,318820000,123570000,433080000,61640000,9250000,18468650000,4442170000,11426160000,71292490000,844480000,85090000,2700000,110600000,16560000,1280000,2870000,30310000,1093890000,182150000,137300000,278600000,336330000,669900000,25360000,99630000,137610000,117410000,170000,459960000,3355010000
37,384.168,17092270000,13896760000,10672630000,183600000,390280000,290000,8260000,321320000,125340000,437890000,64320000,9420000,17312000000,4404270000,8821540000,1511230000,877940000,90380000,2790000,115360000,20770000,1270000,2900000,31990000,1143400000,190320000,161830000,347290000,342350000,722390000,25730000,107150000,140620000,123860000,190000,423050000,3866530000
38,384.167,17406070000,14142240000,10852830000,169240000,422040000,240000,9740000,322760000,131320000,458390000,68700000,10910000,18839400000,4455510000,8046220000,21195060000,896850000,93150000,3830000,119260000,20260000,1630000,3090000,34630000,1172700000,205440000,185270000,339400000,376470000,717360000,28990000,108400000,144620000,126080000,210000,440790000,3445070000
39,384.168,17733170000,14420400000,11054340000,168840000,458780000,390000,9320000,325500000,137880000,483790000,68830000,10520000,18269060000,4591750000,8312630000,1379910000,920720000,99180000,3400000,126110000,21760000,1980000,3300000,35180000,1211630000,220510000,157590000,301080000,430080000,766530000,30700000,115710000,152100000,135570000,310000,441540000,3417920000
40,384.168,18071410000,14666560000,11238940000,170300000,413460000,300000,9810000,322250000,141920000,500150000,76250000,11850000,17885680000,4550350000,8326030000,1348450000,939790000,101600000,3560000,132330000,23440000,1530000,3140000,35590000,1240980000,240030000,154970000,305790000,343580000,787700000,32340000,122770000,156000000,139000000,200000,465130000,3212750000
