Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
1,38.417,35186280000,11924750000,9897330000,283940000,545560000,2120000,300690000,59130000,54510000,617290000,121420000,318880000,46058000000,5172340000,70776790000,9692810000,539260000,1830670000,695510000,477220000,427610000,56460000,147070000,354340000,4528140000,2396480000,7830300000,3354630000,1418610000,180980000,1209340000,571470000,513280000,724900000,45880000,4302590000,7964660000
2,38.417,37721300000,12003500000,9993180000,304520000,505360000,2810000,305220000,57730000,53250000,609410000,116880000,337040000,50052720000,5420660000,78501140000,10144920000,525580000,1970510000,776600000,526740000,483080000,67750000,176090000,414890000,4941240000,2427040000,8815130000,3762400000,1340000000,181150000,1408730000,563280000,529580000,785700000,52030000,4678560000,9155830000
3,38.417,40777850000,12462960000,10435970000,324260000,479190000,2200000,322570000,58550000,53480000,614870000,111460000,366930000,54148670000,5706980000,115992930000,11748230000,541650000,2229330000,883120000,572150000,467980000,77960000,214650000,452320000,5439160000,2544980000,10162000000,3775100000,1438410000,184170000,1601440000,548590000,542180000,872810000,71500000,5117930000,9925520000
4,38.416,44786830000,12766550000,10736500000,337150000,435320000,2670000,325550000,57030000,52150000,624930000,120220000,403750000,58303580000,5966810000,98397190000,13680100000,519280000,2554840000,1132140000,651450000,497790000,78670000,262680000,510510000,6207360000,2632770000,11858280000,4009450000,1812450000,185500000,1862410000,560400000,600060000,968230000,71880000,5696730000,10209760000
5,38.417,50099070000,13436910000,11340670000,377550000,412610000,2270000,342550000,56270000,51450000,626810000,119260000,495280000,62614490000,6305270000,128789770000,16325790000,439110000,2945520000,1340880000,723160000,525970000,114120000,345330000,569330000,7003420000,2801960000,14351880000,4273020000,1996630000,191380000,2245170000,573650000,606180000,1123410000,95130000,6198900000,11669070000
6,38.417,57555640000,14189040000,12017510000,378470000,354650000,2440000,360110000,55540000,49780000,629080000,119560000,591920000,68634310000,8102210000,138799200000,20221650000,440600000,3411870000,1670080000,825980000,549490000,121920000,439140000,676560000,8135640000,2991930000,17508390000,4815540000,1965430000,187520000,2847550000,553620000,647870000,1259870000,155570000,7255040000,13748720000
7,38.416,68867210000,15432610000,13123830000,433180000,315180000,1930000,365890000,54500000,48820000,660070000,122010000,743430000,83703720000,18782460000,194449890000,20786910000,484260000,4217190000,2218490000,926120000,554310000,178710000,574330000,878940000,10032350000,3298180000,22803930000,5095410000,2811670000,192730000,3892230000,447060000,661190000,1586680000,253480000,8469530000,16973430000
8,38.417,88476720000,16971520000,14535140000,458070000,267480000,1460000,373120000,54170000,48060000,689890000,130950000,892300000,100938650000,9276620000,268346540000,38695240000,586670000,5653660000,3326150000,1103170000,434410000,294130000,1017250000,1065690000,13481130000,3694180000,32402780000,5329960000,3923610000,192400000,5442520000,451040000,738110000,2116490000,398330000,10952420000,24280500000
9,38.417,131910820000,21756830000,18445570000,505410000,232110000,1390000,444810000,53880000,46670000,757670000,156350000,1679560000,126395530000,12151720000,446355690000,42825430000,847580000,8398030000,5838000000,1444180000,300970000,535220000,1893470000,1654580000,20912030000,4769550000,54804640000,5204740000,4989000000,197620000,8256560000,399450000,736920000,3224470000,973450000,15444120000,32294270000
